MeasDate,PM10,O3,NO2,CO,SO2,TEMP,RAIN,RAIN_WEIGHT,WIND,WIND_DIR,HUMIDITY,ATM_PRESS,SNOW,SNOW_WEIGHT,CLOUD,TRAFIC,WEATHER
2019-07-01,29,0.054,0.021,0.5,0.003,24.03,0,0,2.3,249,63.2,995.1,0,0,5.7,9433883,2
2019-07-02,26,0.053,0.02,0.5,0.003,24.29,0,0,2.26,265,63.2,998.6,0,0,3.83,9723027,2
2019-07-03,30,0.042,0.023,0.4,0.003,24.18,0,0,1.79,280,65.3,998.3,0,0,6.29,9630786,2
2019-07-04,28,0.034,0.026,0.4,0.003,25.35,0,0,2.04,263,58.6,996.6,0,0,2.54,9871781,2
2019-07-05,29,0.045,0.035,0.5,0.003,27.3,0,0,1.45,175,45.5,993.5,0,0,3.92,10155245,2
2019-07-06,29,0.043,0.032,0.5,0.003,29.87,0,0,1.54,80,39.7,993.7,0,0,3.5,9514733,2
2019-07-07,16,0.043,0.014,0.3,0.002,26.86,0,0,2.27,83,43.5,997.5,0,0,6.58,8214871,2
2019-07-08,10,0.035,0.019,0.3,0.002,25.13,0,0,1.96,76,45.3,997.9,0,0,6.58,9585128,2
2019-07-09,10,0.033,0.019,0.4,0.002,25.11,0,0,1.84,81,46.3,996.7,0,0,4.42,9806906,2
2019-07-10,9,0.027,0.019,0.3,0.002,22.79,1,0.82,2.13,80,61,997.3,0,0,8.29,9815590,2
2019-07-11,5,0.023,0.014,0.3,0.002,21.79,1,0.23,1.3,204,79,995.2,0,0,9.63,9586898,2
2019-07-12,12,0.028,0.02,0.3,0.003,23.47,0,0,2,263,66.7,996.4,0,0,7.04,10332896,2
2019-07-13,29,0.043,0.023,0.5,0.004,24.87,0,0,1.66,210,67.4,992.3,0,0,7.79,9385271,2
2019-07-14,40,0.058,0.018,0.5,0.003,25.76,0,0,1.65,264,65.2,992.3,0,0,4.08,8220554,2
2019-07-15,38,0.031,0.034,0.6,0.002,23.87,1,1.09,1.05,133,77.9,996.9,0,0,7.58,9202083,2
2019-07-16,31,0.035,0.028,0.5,0.002,24.36,1,1.28,1.38,152,80.8,1000.6,0,0,7.29,9769326,2
2019-07-17,66,0.035,0.029,0.6,0.003,25.54,1,0.7,1.18,189,74.5,1001.3,0,0,8.75,10009430,2
2019-07-18,70,0.056,0.035,0.7,0.004,27.04,0,0,1.12,192,64.9,998.9,0,0,6.79,9934552,2
2019-07-19,37,0.032,0.032,0.5,0.004,28.38,0,0,1.45,107,61.2,996.6,0,0,4.71,10270459,2
2019-07-20,9,0.009,0.019,0.3,0.003,28.31,1,0.12,2.1,88,63.1,991.3,0,0,9.13,9530962,2
2019-07-21,16,0.018,0.012,0.3,0.003,25.26,1,0.41,2.27,178,87.1,991.3,0,0,9.25,8138717,2
2019-07-22,46,0.041,0.022,0.4,0.003,26.68,1,0.03,2.13,230,74.7,996.2,0,0,7.42,9695973,2
2019-07-23,26,0.018,0.023,0.4,0.003,27.9,0,0,1.74,192,71.5,995.5,0,0,8.54,9922898,2
2019-07-24,28,0.009,0.026,0.3,0.002,26.44,1,0.07,1.59,200,82.3,994.4,0,0,9.33,9661651,2
2019-07-25,31,0.013,0.03,0.3,0.002,26.35,1,0.65,1.25,148,90.5,994.7,0,0,9.79,9273092,2
2019-07-26,22,0.021,0.027,,0.002,25.06,1,3,1.72,187,94.9,993.9,0,0,9.88,8945558,2
2019-07-27,20,0.028,0.025,,0.003,28.1,1,0.1,1.15,151,78.6,995.6,0,0,8.21,9215652,2
